MFonMB_X,Subj,Choice
-1.7064,20,0
-4.7064,20,1
3.2936,20,0
-4.7064,20,1
-1.7064,20,1
-2.7064,20,0
-1.7064,20,0
3.2936,21,1
-1.7064,21,1
2.2936,21,1
3.2936,21,1
-3.7064,21,1
-2.7064,21,0
-3.7064,21,1
-1.7064,21,1
-0.70639,21,1
1.2936,21,1
-0.70639,21,1
-3.7064,21,1
-0.70639,21,1
-0.70639,21,1
2.2936,21,0
3.2936,21,0
-2.7064,21,0
-3.7064,22,1
1.2936,22,1
-4.7064,22,0
0.29361,22,1
0.29361,22,1
2.2936,22,0
0.29361,22,1
1.2936,22,0
-4.7064,22,1
-2.7064,22,1
0.29361,22,1
1.2936,22,1
-1.7064,22,1
0.29361,22,1
-3.7064,22,1
-3.7064,22,0
1.2936,22,1
4.2936,22,1
-1.7064,22,1
2.2936,23,0
-3.7064,23,0
-0.70639,23,0
-2.7064,23,0
3.2936,23,0
0.29361,23,0
4.2936,23,0
2.2936,23,1
-1.7064,23,0
0.29361,23,0
0.29361,23,0
4.2936,23,0
1.2936,23,0
-0.70639,23,0
0.29361,23,1
3.2936,23,1
-1.7064,23,1
5.2936,23,1
-3.7064,24,0
-4.7064,24,1
-2.7064,24,1
-2.7064,24,1
0.29361,24,1
2.2936,24,0
0.29361,24,1
-1.7064,24,0
-3.7064,24,0
2.2936,24,1
0.29361,24,1
0.29361,24,0
-1.7064,24,1
4.2936,24,0
3.2936,24,1
1.2936,24,0
1.2936,24,0
2.2936,24,0
-2.7064,25,0
-3.7064,25,1
-0.70639,25,1
-0.70639,25,0
-1.7064,25,0
0.29361,25,1
0.29361,25,0
4.2936,25,0
-2.7064,25,1
4.2936,25,1
1.2936,25,1
-2.7064,25,1
0.29361,25,1
-0.70639,25,1
4.2936,25,1
-2.7064,25,0
3.2936,25,1
-3.7064,25,0
0.29361,26,0
-2.7064,26,1
-0.70639,26,0
-4.7064,26,1
1.2936,26,0
-1.7064,26,0
1.2936,26,0
-3.7064,26,0
5.2936,26,1
-2.7064,26,0
-0.70639,26,0
3.2936,26,1
-0.70639,26,0
3.2936,26,0
-0.70639,26,0
0.29361,26,1
2.2936,26,0
0.29361,26,1
-1.7064,26,1
0.29361,27,0
-2.7064,27,1
4.2936,27,1
-4.7064,27,0
-0.70639,27,1
0.29361,27,0
1.2936,27,1
0.29361,27,0
4.2936,27,1
-2.7064,27,1
0.29361,27,0
0.29361,27,0
1.2936,27,0
5.2936,27,0
-1.7064,27,0
5.2936,27,0
2.2936,27,0
-2.7064,27,0
5.2936,28,0
0.29361,28,1
0.29361,28,1
3.2936,28,0
-0.70639,28,1
3.2936,28,1
-4.7064,28,0
-3.7064,28,0
-4.7064,28,1
0.29361,28,1
4.2936,28,0
-0.70639,28,1
1.2936,28,0
-2.7064,28,0
0.29361,28,1
2.2936,28,0
1.2936,28,0
-3.7064,29,1
-2.7064,29,0
1.2936,29,0
3.2936,29,1
-1.7064,29,1
0.29361,29,0
-4.7064,29,0
-4.7064,29,1
3.2936,29,1
0.29361,29,0
2.2936,29,0
-0.70639,29,0
-0.70639,29,0
-3.7064,29,0
-2.7064,29,0
-1.7064,29,1
-3.7064,29,0
-2.7064,29,0
-3.7064,30,1
-1.7064,30,1
-3.7064,30,1
2.2936,30,1
0.29361,30,1
2.2936,30,1
2.2936,30,1
3.2936,30,1
0.29361,30,1
0.29361,30,1
0.29361,30,1
1.2936,30,1
4.2936,30,1
2.2936,30,1
-3.7064,30,0
-1.7064,30,1
-0.70639,30,0
-0.70639,30,1
2.2936,31,0
1.2936,31,0
-4.7064,31,0
-1.7064,31,1
0.29361,31,0
0.29361,31,1
5.2936,31,1
-3.7064,31,0
-2.7064,31,0
1.2936,31,0
1.2936,31,0
-1.7064,31,0
-1.7064,31,1
-2.7064,31,0
3.2936,31,0
0.29361,31,0
2.2936,31,0
-1.7064,31,1
-4.7064,32,1
5.2936,32,1
0.29361,32,1
-3.7064,32,0
-1.7064,32,0
1.2936,32,0
-3.7064,32,0
-2.7064,32,0
2.2936,32,1
1.2936,32,1
4.2936,32,1
-2.7064,32,0
1.2936,32,0
1.2936,32,0
-0.70639,32,0
2.2936,32,1
3.2936,32,0
-3.7064,32,0
0.29361,33,0
-2.7064,33,0
-1.7064,33,1
-1.7064,33,0
0.29361,33,1
4.2936,33,1
-1.7064,33,0
4.2936,33,1
5.2936,33,0
-4.7064,33,0
-3.7064,33,1
3.2936,33,0
-2.7064,33,0
0.29361,33,1
0.29361,33,1
-4.7064,33,1
-2.7064,33,1
0.29361,33,0
-0.70639,33,1
-3.7064,33,0
-1.7064,34,0
3.2936,34,0
4.2936,34,1
-0.70639,34,1
0.29361,34,0
0.29361,34,0
3.2936,34,1
4.2936,34,0
4.2936,34,1
-2.7064,34,0
-0.70639,34,1
2.2936,34,1
0.29361,34,1
1.2936,34,0
-2.7064,34,1
-1.7064,34,1
-4.7064,34,1
3.2936,34,0
-0.70639,35,0
4.2936,35,1
-0.70639,35,1
2.2936,35,0
4.2936,35,1
4.2936,35,1
5.2936,35,0
3.2936,35,1
0.29361,35,0
1.2936,35,1
1.2936,35,1
0.29361,35,1
1.2936,35,0
-0.70639,35,1
1.2936,35,0
4.2936,35,1
0.29361,35,1
0.29361,36,0
-3.7064,36,0
-1.7064,36,0
-4.7064,36,0
-3.7064,36,1
2.2936,36,0
-3.7064,36,1
0.29361,36,0
1.2936,36,1
-2.7064,36,0
-3.7064,36,0
0.29361,36,0
-3.7064,36,1
-1.7064,36,1
-4.7064,36,0
-4.7064,36,1
-1.7064,36,1
0.29361,36,0
0.29361,37,0
1.2936,37,1
3.2936,37,0
3.2936,37,0
5.2936,37,0
2.2936,37,0
1.2936,37,0
-2.7064,37,0
0.29361,37,1
4.2936,37,1
3.2936,37,1
-2.7064,37,1
-3.7064,37,1
-0.70639,37,0
1.2936,37,0
-0.70639,37,1
-3.7064,37,0
-4.7064,38,0
2.2936,38,1
-0.70639,38,0
-4.7064,38,1
4.2936,38,1
1.2936,38,0
0.29361,38,1
0.29361,38,1
-0.70639,38,1
-0.70639,38,1
0.29361,38,0
-0.70639,38,0
4.2936,38,1
-0.70639,38,0
0.29361,38,1
-3.7064,38,0
-0.70639,38,1
0.29361,38,0
-2.7064,39,1
0.29361,39,0
0.29361,39,1
-2.7064,39,1
-3.7064,39,1
-2.7064,39,0
-1.7064,39,1
3.2936,39,0
3.2936,39,0
-3.7064,39,0
0.29361,39,1
3.2936,39,1
3.2936,39,0
-3.7064,39,0
-3.7064,39,1
-2.7064,39,0
4.2936,39,1
1.2936,39,1
2.2936,40,0
0.29361,40,1
2.2936,40,0
0.29361,40,1
-2.7064,40,0
-1.7064,40,1
4.2936,40,1
-3.7064,40,1
1.2936,40,1
1.2936,40,0
-3.7064,40,0
5.2936,40,0
1.2936,40,0
3.2936,40,0
0.29361,40,0
-3.7064,40,1
-2.7064,40,0
-1.7064,41,0
-3.7064,41,1
-0.70639,41,0
4.2936,41,0
2.2936,41,1
2.2936,41,0
-3.7064,41,0
-3.7064,41,0
-3.7064,41,1
3.2936,41,1
4.2936,41,1
2.2936,41,0
0.29361,41,0
-0.70639,41,0
-3.7064,41,0
4.2936,41,1
-3.7064,41,1
-3.7064,41,1
-1.7064,42,1
1.2936,42,0
-3.7064,42,0
-1.7064,42,1
-1.7064,42,0
-2.7064,42,0
0.29361,42,0
2.2936,42,0
-1.7064,42,0
0.29361,42,1
-4.7064,42,1
-3.7064,42,1
0.29361,42,1
0.29361,42,1
-2.7064,42,1
5.2936,42,1
-1.7064,42,1
-3.7064,42,1
3.2936,43,0
2.2936,43,0
-0.70639,43,0
-4.7064,43,1
2.2936,43,0
3.2936,43,0
0.29361,43,1
-2.7064,43,1
1.2936,43,0
5.2936,43,1
4.2936,43,0
4.2936,43,1
-2.7064,43,0
3.2936,43,0
-3.7064,43,0
-3.7064,43,0
3.2936,43,1
4.2936,44,0
5.2936,44,0
-2.7064,44,0
5.2936,44,1
5.2936,44,1
1.2936,44,0
0.29361,44,0
3.2936,44,0
-2.7064,44,1
0.29361,44,1
-2.7064,44,0
3.2936,44,1
4.2936,44,1
0.29361,44,1
0.29361,44,0
0.29361,44,0
-1.7064,44,1
2.2936,44,1
-3.7064,44,0
1.2936,45,0
-1.7064,45,0
-3.7064,45,0
-1.7064,45,1
4.2936,45,0
-1.7064,45,0
-3.7064,45,0
-1.7064,45,0
-0.70639,45,0
-4.7064,45,0
-1.7064,45,1
-2.7064,45,0
3.2936,45,0
-1.7064,45,1
2.2936,45,1
3.2936,45,1
-0.70639,45,0
-3.7064,45,0
1.2936,46,0
3.2936,46,1
-1.7064,46,0
-4.7064,46,1
0.29361,46,1
-1.7064,46,1
0.29361,46,0
0.29361,46,0
0.29361,46,0
3.2936,46,1
-1.7064,46,1
4.2936,46,1
1.2936,46,0
4.2936,46,0
-0.70639,46,0
1.2936,46,0
2.2936,46,0
-1.7064,46,0
-1.7064,47,1
-1.7064,47,1
3.2936,47,0
3.2936,47,0
-0.70639,47,0
0.29361,47,1
1.2936,47,1
-1.7064,47,1
3.2936,47,1
-0.70639,47,1
-1.7064,47,0
2.2936,47,1
-1.7064,47,0
-3.7064,47,1
4.2936,47,0
-2.7064,47,0
-0.70639,47,1
2.2936,48,0
0.29361,48,1
-2.7064,48,0
0.29361,48,0
-1.7064,48,0
-1.7064,48,0
3.2936,48,0
-0.70639,48,0
-0.70639,48,0
-2.7064,48,0
-2.7064,48,0
4.2936,48,0
-0.70639,48,0
4.2936,48,0
-2.7064,48,0
1.2936,48,0
1.2936,48,0
-2.7064,49,0
-3.7064,49,0
1.2936,49,1
-1.7064,49,1
-1.7064,49,1
-2.7064,49,0
1.2936,49,1
2.2936,49,1
4.2936,49,0
-0.70639,49,0
-3.7064,49,1
-0.70639,49,1
-2.7064,49,0
-3.7064,49,0
-3.7064,49,0
3.2936,49,0
2.2936,50,1
-1.7064,50,1
-1.7064,50,0
2.2936,50,0
3.2936,50,1
-3.7064,50,1
-1.7064,50,0
1.2936,50,0
3.2936,50,1
2.2936,50,1
-4.7064,50,1
-0.70639,50,0
0.29361,50,0
-2.7064,50,1
2.2936,50,1
-1.7064,50,1
2.2936,50,0
0.29361,50,0
-2.7064,51,1
2.2936,51,0
2.2936,51,1
4.2936,51,0
1.2936,51,0
-0.70639,51,0
-3.7064,51,0
-0.70639,51,0
0.29361,51,0
4.2936,51,1
-1.7064,51,1
-4.7064,51,0
4.2936,51,0
-3.7064,51,0
-3.7064,51,1
3.2936,51,1
-0.70639,52,0
2.2936,52,1
-0.70639,52,0
3.2936,52,1
-1.7064,52,1
3.2936,52,1
5.2936,52,1
3.2936,52,1
3.2936,52,1
0.29361,52,1
-2.7064,52,0
-3.7064,52,0
5.2936,52,1
-1.7064,52,1
-0.70639,52,1
-0.70639,52,1
-0.70639,52,1
0.29361,53,1
-0.70639,53,1
1.2936,53,1
-2.7064,53,1
-2.7064,53,1
-0.70639,53,1
5.2936,53,1
-2.7064,53,0
2.2936,53,0
3.2936,53,1
2.2936,53,1
2.2936,53,1
-3.7064,53,1
4.2936,53,0
-1.7064,53,0
4.2936,53,1
1.2936,53,1
1.2936,54,1
-3.7064,54,1
-1.7064,54,1
3.2936,54,1
-4.7064,54,1
1.2936,54,0
-0.70639,54,0
-1.7064,54,0
-3.7064,54,0
-1.7064,54,0
1.2936,54,1
1.2936,54,1
1.2936,54,1
4.2936,54,1
2.2936,54,1
5.2936,54,1
-1.7064,54,1
4.2936,54,0
3.2936,54,0
2.2936,54,1
-2.7064,55,0
1.2936,55,1
4.2936,55,0
1.2936,55,0
-0.70639,55,1
-3.7064,55,0
3.2936,55,1
0.29361,55,0
-0.70639,55,1
-3.7064,55,1
1.2936,55,1
4.2936,55,0
-3.7064,55,0
-2.7064,55,0
-2.7064,55,0
-3.7064,55,0
-3.7064,55,1
-1.7064,55,1
-2.7064,55,1
4.2936,55,1
3.2936,55,0
0.29361,56,1
4.2936,56,0
-2.7064,56,1
-1.7064,56,0
-2.7064,56,1
0.29361,56,1
3.2936,56,0
2.2936,56,1
4.2936,56,1
1.2936,56,1
-1.7064,56,0
1.2936,56,0
0.29361,56,1
0.29361,56,1
-4.7064,56,0
3.2936,56,1
3.2936,56,1
1.2936,56,0
2.2936,57,0
-4.7064,57,0
0.29361,57,0
4.2936,57,1
-3.7064,57,1
-0.70639,57,0
-0.70639,57,0
-3.7064,57,1
-4.7064,57,1
