MFonMB_X,Subj,Choice
0.29361,25,1
3.2936,25,1
-3.7064,25,1
2.2936,25,1
4.2936,25,1
-1.7064,25,0
-3.7064,25,1
0.29361,25,1
2.2936,25,1
3.2936,25,1
0.29361,26,0
0.29361,26,0
-0.70639,26,0
4.2936,26,1
-4.7064,26,0
-2.7064,26,0
-3.7064,26,0
-1.7064,26,0
-2.7064,26,0
-3.7064,26,1
4.2936,26,0
-1.7064,26,0
-2.7064,27,1
-4.7064,27,0
-4.7064,27,0
-3.7064,27,0
3.2936,27,1
-3.7064,27,1
-3.7064,27,0
-4.7064,27,1
0.29361,27,0
-1.7064,27,0
-0.70639,27,1
5.2936,27,0
-2.7064,27,0
-3.7064,28,0
2.2936,28,1
-2.7064,28,1
-2.7064,28,1
0.29361,28,0
0.29361,28,1
4.2936,28,1
-2.7064,28,1
0.29361,28,0
-2.7064,28,1
1.2936,28,1
4.2936,28,1
-0.70639,29,1
-1.7064,29,1
1.2936,29,1
-2.7064,29,0
2.2936,29,1
0.29361,29,1
-1.7064,29,0
3.2936,29,0
-1.7064,29,0
4.2936,29,0
0.29361,29,0
1.2936,29,1
-2.7064,29,1
-3.7064,29,1
-3.7064,29,0
2.2936,30,1
4.2936,30,1
-1.7064,30,0
4.2936,30,1
4.2936,30,1
0.29361,30,0
2.2936,30,1
-2.7064,30,0
4.2936,30,0
1.2936,30,1
-3.7064,30,0
-0.70639,30,1
-0.70639,30,1
0.29361,30,0
2.2936,31,0
-3.7064,31,0
-3.7064,31,0
-0.70639,31,1
-3.7064,31,1
0.29361,31,1
-3.7064,31,0
-3.7064,31,0
4.2936,31,0
-2.7064,31,0
-2.7064,31,1
-0.70639,31,0
-2.7064,31,0
0.29361,32,0
-1.7064,32,0
0.29361,32,0
4.2936,32,0
4.2936,32,0
-0.70639,32,1
4.2936,32,1
-2.7064,32,1
-0.70639,32,0
0.29361,32,1
-0.70639,32,1
2.2936,32,0
0.29361,32,0
2.2936,32,0
-2.7064,33,1
-3.7064,33,0
0.29361,33,0
2.2936,33,0
3.2936,33,0
-2.7064,33,1
1.2936,33,0
1.2936,33,1
-1.7064,33,1
0.29361,33,0
-3.7064,33,0
0.29361,33,1
-4.7064,34,0
0.29361,34,0
1.2936,34,1
1.2936,34,0
1.2936,34,1
-1.7064,34,0
1.2936,34,0
0.29361,34,0
0.29361,34,0
-2.7064,34,1
-2.7064,34,1
0.29361,34,0
-2.7064,34,1
4.2936,34,0
-1.7064,34,0
4.2936,35,0
-1.7064,35,1
3.2936,35,0
1.2936,35,0
-1.7064,35,0
4.2936,35,1
