MB_X,MB_Y,MF_X,MF_Y,SMF_X,SMF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
-1.0494,-7.1985,-4.4474,-0.15716,-4.1982,0.21281,-1.0579,0.25659,1,1
0.95058,-3.1985,-0.44735,6.8428,-0.19819,7.2128,-0.057876,7.2566,1,1
-1.0494,0.80151,1.5526,-4.1572,-1.1982,0.21281,-1.0579,0.25659,1,0
-0.049418,-6.1985,-5.4474,-0.15716,-5.1982,0.21281,-0.057876,0.25659,1,0
0.95058,0.80151,-1.4474,-4.1572,-1.1982,0.21281,-0.057876,0.25659,1,0
-3.0494,3.8015,3.5526,-10.157,1.8018,-5.7872,-0.057876,-5.7434,1,0
0.95058,-6.1985,-2.4474,-0.15716,-2.1982,0.21281,-0.057876,0.25659,1,0
0.95058,-4.1985,-1.4474,-0.15716,1.8018,0.21281,-0.057876,0.25659,1,0
-0.049418,-6.1985,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
0.95058,-0.19849,-0.44735,-3.1572,-0.19819,1.2128,-0.057876,0.25659,1,0
1.9506,-6.1985,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
0.95058,-6.1985,-0.44735,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
-4.0494,3.8015,-0.44735,-10.157,-0.19819,-5.7872,-0.057876,-5.7434,1,0
-0.049418,-6.1985,1.5526,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,1
1.9506,1.8015,-1.4474,-0.15716,-1.1982,0.21281,-0.057876,0.25659,1,0
-5.0494,3.8015,1.5526,-4.1572,1.8018,-5.7872,-0.057876,-5.7434,1,0
-0.049418,-0.19849,1.5526,1.8428,-0.19819,1.2128,-0.057876,0.25659,1,0
-5.0494,-5.1985,-0.44735,6.8428,-0.19819,7.2128,6.9421,7.2566,1,0
1.9506,3.8015,-0.44735,-4.1572,-0.19819,-5.7872,-0.057876,-5.7434,1,0
-4.0494,-0.19849,5.5526,-0.15716,4.8018,0.21281,-0.057876,0.25659,1,0
1.9506,-4.1985,-6.4474,-0.15716,-0.19819,0.21281,-0.057876,0.25659,1,0
2.9506,2.8015,-1.4474,-0.15716,-1.1982,0.21281,-0.057876,0.25659,1,1
2.9506,2.8015,-1.4474,-0.15716,-1.1982,0.21281,-0.057876,0.25659,1,1
2.9506,2.8015,-1.4474,-0.15716,-1.1982,0.21281,-0.057876,0.25659,1,1
-4.0494,-0.19849,5.5526,-0.15716,-0.19819,0.21281,3.9421,0.25659,1,0
1.9506,2.8015,-7.4474,-3.1572,-2.1982,-2.7872,-0.057876,-3.7434,2,1
