MFonMB,Subj,Choice
-3.6351,30,0
2.3649,30,0
-0.63515,30,0
-0.63515,30,1
-2.6351,32,1
4.3649,32,1
1.3649,32,1
-4.6351,32,1
-1.6351,32,1
2.3649,32,1
-0.63515,32,0
-2.6351,32,0
0.36485,32,0
3.3649,32,0
1.3649,32,1
1.3649,32,0
-2.6351,33,0
4.3649,33,1
4.3649,33,0
-0.63515,33,0
-1.6351,33,1
4.3649,33,0
1.3649,33,1
0.36485,33,1
-2.6351,33,0
4.3649,33,1
-2.6351,33,0
-2.6351,33,0
2.3649,33,1
0.36485,33,1
1.3649,34,1
-2.6351,34,0
-1.6351,34,1
-1.6351,34,0
-0.63515,34,0
-2.6351,34,1
3.3649,34,1
2.3649,34,0
-1.6351,34,0
-3.6351,34,0
3.3649,34,0
-1.6351,34,0
2.3649,34,0
-0.63515,35,0
-3.6351,35,1
-0.63515,35,0
-3.6351,35,0
2.3649,35,0
-2.6351,35,1
1.3649,35,0
-4.6351,35,1
-3.6351,35,0
-1.6351,35,1
3.3649,35,0
-2.6351,35,1
-4.6351,35,1
-2.6351,36,1
1.3649,36,0
5.3649,36,0
-0.63515,36,0
5.3649,36,0
-1.6351,36,0
-3.6351,36,0
1.3649,36,0
2.3649,36,0
1.3649,36,0
-2.6351,36,0
-0.63515,36,0
2.3649,36,0
1.3649,37,0
0.36485,37,1
-1.6351,37,1
-1.6351,37,1
-1.6351,37,1
-1.6351,37,0
-1.6351,37,1
0.36485,37,1
-0.63515,37,1
-2.6351,37,0
2.3649,37,1
-0.63515,37,0
2.3649,37,1
-4.6351,38,0
-2.6351,38,0
4.3649,38,0
3.3649,38,0
-2.6351,38,1
4.3649,38,1
-2.6351,38,1
-1.6351,38,0
-3.6351,38,1
-4.6351,38,0
-0.63515,38,1
1.3649,38,1
-0.63515,38,1
-1.6351,39,0
-3.6351,39,1
-3.6351,39,1
2.3649,39,1
4.3649,39,0
3.3649,39,0
5.3649,39,0
-4.6351,39,0
-2.6351,39,0
4.3649,39,1
-4.6351,39,1
4.3649,39,1
-1.6351,39,0
4.3649,40,1
-3.6351,40,1
-4.6351,40,1
1.3649,40,0
-4.6351,40,1
-2.6351,40,1
-0.63515,40,1
3.3649,40,0
3.3649,40,0
-1.6351,40,1
-2.6351,40,0
-0.63515,40,1
-2.6351,40,1
-3.6351,42,0
2.3649,42,0
-2.6351,42,0
-1.6351,42,1
-2.6351,42,0
-2.6351,42,1
-1.6351,42,0
4.3649,42,0
-4.6351,42,0
-4.6351,42,1
-0.63515,42,0
3.3649,42,1
2.3649,42,0
2.3649,43,1
-0.63515,43,1
-3.6351,43,1
1.3649,43,1
-0.63515,43,1
-3.6351,43,1
4.3649,43,0
4.3649,43,0
0.36485,43,1
-2.6351,43,0
0.36485,43,1
1.3649,43,0
2.3649,43,0
1.3649,44,0
-3.6351,44,0
0.36485,44,1
-2.6351,44,0
-0.63515,44,0
1.3649,44,0
-4.6351,44,0
0.36485,44,0
0.36485,44,0
-4.6351,44,0
-3.6351,44,0
-3.6351,44,0
-0.63515,44,0
-4.6351,45,1
2.3649,45,0
4.3649,45,0
-1.6351,45,1
4.3649,45,0
5.3649,45,1
-1.6351,45,1
-0.63515,45,1
-0.63515,45,1
1.3649,45,1
-0.63515,45,1
3.3649,45,0
-0.63515,45,1
-3.6351,46,1
4.3649,46,0
3.3649,46,0
4.3649,46,0
-2.6351,46,0
-4.6351,46,1
1.3649,46,0
-1.6351,46,1
1.3649,46,0
-4.6351,46,1
3.3649,46,0
-0.63515,46,0
2.3649,47,0
5.3649,47,0
4.3649,47,0
-4.6351,47,1
3.3649,47,1
-3.6351,47,0
-0.63515,47,0
2.3649,47,1
4.3649,47,1
1.3649,47,0
-1.6351,47,0
3.3649,47,0
-4.6351,47,1
3.3649,48,0
-2.6351,48,0
-2.6351,48,0
0.36485,48,0
2.3649,48,1
0.36485,48,1
1.3649,48,0
0.36485,48,1
0.36485,48,0
