MB_X,MB_Y,MF_X,MF_Y,SMF_X,SMF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
-4.0189,6.7585,1.7638,1.749,-4.0488,-4.0422,-3.9724,6.993,2,1
-7.0189,-0.24153,1.7638,-1.251,-4.0488,-1.0422,-3.9724,-1.007,2,1
-7.0189,6.7585,-4.2362,-7.251,-4.0488,-7.0422,-3.9724,-7.007,2,1
8.9811,-0.24153,0.76378,-0.251,6.9512,-0.042193,9.0276,-0.0070321,2,0
0.98106,-1.2415,-4.2362,-0.251,2.9512,-1.0422,2.0276,-1.007,2,0
1.9811,-1.2415,8.7638,-1.251,0.95121,-1.0422,2.0276,-1.007,2,0
-7.0189,-0.24153,-1.2362,-0.251,-4.0488,-0.042193,-3.9724,-0.0070321,2,0
1.9811,1.7585,1.7638,1.749,1.9512,1.9578,2.0276,1.993,2,0
8.9811,8.7585,1.7638,8.749,8.9512,8.9578,9.0276,8.993,2,0
-3.0189,-0.24153,-1.2362,-0.251,-4.0488,-0.042193,-3.9724,-0.0070321,2,1
1.9811,-1.2415,-1.2362,8.749,-1.0488,1.9578,-0.97245,-1.007,2,0
1.9811,-1.2415,-3.2362,-3.251,1.9512,-1.0422,2.0276,-1.007,2,0
1.9811,-1.2415,1.7638,8.749,1.9512,1.9578,2.0276,-1.007,2,0
-3.0189,-3.2415,1.7638,-3.251,-4.0488,-3.0422,-3.9724,-3.007,2,1
-3.0189,-3.2415,1.7638,-4.251,-4.0488,-4.0422,-3.9724,-4.007,2,1
7.9811,-3.2415,8.7638,7.749,8.9512,7.9578,-2.9724,7.993,2,0
1.9811,-1.2415,1.7638,6.749,1.9512,1.9578,2.0276,-1.007,2,0
1.9811,-1.2415,1.7638,7.749,1.9512,-1.0422,-1.9724,-1.007,2,0
1.9811,-1.2415,1.7638,7.749,1.9512,-1.0422,2.0276,-1.007,2,1
1.9811,0.75847,-2.2362,0.749,-2.0488,0.95781,2.0276,0.99297,2,1
-5.0189,6.7585,1.7638,6.749,-4.0488,6.9578,-4.9724,6.993,2,1
