MB,MF,MFonMB,Crits,Choice,Subj
0.77188,-4.9517,-2.7321,1,1,21
-1.2281,4.0483,-3.7321,0,1,22
-1.2281,1.0483,-4.7321,1,1,22
-0.22812,-2.9517,-2.7321,0,1,22
-2.2281,-3.9517,-4.7321,0,0,22
-1.2281,-7.9517,-4.7321,1,0,22
2.7719,-7.9517,4.2679,1,1,22
-3.2281,-3.9517,-4.7321,1,1,22
1.7719,2.0483,-4.7321,1,1,22
0.77188,5.0483,-4.7321,0,0,22
-3.2281,-1.9517,3.2679,0,0,22
-1.2281,0.048341,2.2679,1,1,22
-0.22812,1.0483,3.2679,1,1,22
0.77188,-1.9517,-4.7321,0,0,22
-0.22812,-2.9517,-4.7321,1,0,22
-5.2281,-1.9517,-4.7321,1,0,22
-0.22812,4.0483,-3.7321,1,0,22
-0.22812,0.048341,-4.7321,1,0,22
-8.2281,-5.9517,3.2679,0,0,22
4.7719,2.0483,-3.7321,1,1,22
-9.2281,-5.9517,-2.7321,1,0,22
-2.2281,1.0483,4.2679,1,0,22
-2.2281,-1.9517,4.2679,1,1,23
4.7719,4.0483,4.2679,0,1,23
4.7719,4.0483,-4.7321,0,0,23
6.7719,7.0483,-3.7321,1,1,23
-4.2281,2.0483,-2.7321,1,0,23
-0.22812,-1.9517,3.2679,1,1,23
0.77188,-0.95166,4.2679,0,0,23
-1.2281,-0.95166,4.2679,1,1,23
4.7719,0.048341,4.2679,1,0,23
-7.2281,-1.9517,4.2679,0,1,23
3.7719,5.0483,4.2679,1,1,23
-7.2281,0.048341,4.2679,0,0,23
6.7719,-0.95166,-4.7321,1,1,23
-3.2281,-7.9517,-3.7321,1,1,23
1.7719,-0.95166,-3.7321,0,0,23
-3.2281,6.0483,3.2679,1,1,23
-6.2281,3.0483,-3.7321,0,1,23
5.7719,-2.9517,-4.7321,1,1,23
-6.2281,-1.9517,-3.7321,0,1,23
-5.2281,-2.9517,-3.7321,0,0,23
3.7719,5.0483,-3.7321,1,1,23
0.77188,-2.9517,4.2679,1,1,23
-0.22812,-2.9517,2.2679,1,0,23
-5.2281,-0.95166,-2.7321,0,0,26
3.7719,-3.9517,2.2679,1,1,26
-2.2281,3.0483,-4.7321,1,1,26
0.77188,1.0483,-2.7321,1,1,26
-1.2281,-0.95166,-3.7321,1,1,26
-3.2281,2.0483,2.2679,0,0,26
3.7719,5.0483,3.2679,1,1,26
6.7719,1.0483,-2.7321,1,0,26
-0.22812,-3.9517,-4.7321,0,1,26
-4.2281,-3.9517,-4.7321,1,1,26
2.7719,7.0483,-2.7321,0,1,26
2.7719,5.0483,3.2679,1,1,26
0.77188,-0.95166,2.2679,1,1,26
-1.2281,2.0483,-4.7321,0,0,26
-0.22812,0.048341,-4.7321,1,1,26
1.7719,2.0483,-2.7321,1,1,26
-5.2281,0.048341,-4.7321,0,0,26
2.7719,4.0483,3.2679,1,1,26
0.77188,1.0483,-3.7321,1,1,26
-0.22812,3.0483,-0.73207,1,1,27
-3.2281,-3.9517,4.2679,0,0,27
-4.2281,2.0483,4.2679,1,1,27
-6.2281,-5.9517,3.2679,0,0,27
-4.2281,-3.9517,4.2679,0,0,27
4.7719,5.0483,4.2679,1,1,27
1.7719,-0.95166,2.2679,1,1,27
-2.2281,4.0483,4.2679,1,1,27
-0.22812,-0.95166,4.2679,1,1,27
-2.2281,-0.95166,-4.7321,0,1,27
5.7719,2.0483,-3.7321,1,1,27
2.7719,-1.9517,-2.7321,1,1,27
2.7719,-6.9517,-4.7321,1,1,27
3.7719,0.048341,-4.7321,1,1,27
4.7719,5.0483,-1.7321,0,1,27
-0.22812,0.048341,2.2679,1,1,27
1.7719,2.0483,4.2679,1,1,27
-2.2281,1.0483,4.2679,0,0,27
-0.22812,1.0483,2.2679,1,1,27
2.7719,5.0483,-0.73207,0,1,27
3.7719,-0.95166,2.2679,1,1,27
-2.2281,0.048341,3.2679,0,1,29
-3.2281,0.048341,3.2679,1,1,29
-4.2281,2.0483,-2.7321,0,1,29
5.7719,6.0483,-4.7321,1,1,29
-0.22812,0.048341,2.2679,1,1,29
3.7719,-3.9517,-3.7321,1,0,29
3.7719,1.0483,-2.7321,1,0,29
-1.2281,1.0483,-4.7321,0,1,29
2.7719,3.0483,3.2679,1,1,29
-7.2281,-5.9517,2.2679,0,0,29
1.7719,4.0483,4.2679,0,1,29
1.7719,4.0483,4.2679,1,1,29
3.7719,0.048341,4.2679,1,1,29
4.7719,4.0483,2.2679,1,1,29
-3.2281,-5.9517,-4.7321,1,0,29
-0.22812,5.0483,-4.7321,0,0,29
-5.2281,-2.9517,4.2679,1,0,29
-4.2281,4.0483,3.2679,0,0,29
4.7719,4.0483,-4.7321,1,1,29
-3.2281,2.0483,2.2679,0,0,29
1.7719,4.0483,2.2679,1,1,29
-0.22812,0.048341,4.2679,1,1,29
-1.2281,1.0483,-3.7321,0,0,30
2.7719,2.0483,-4.7321,1,1,30
-3.2281,1.0483,-4.7321,0,0,30
-2.2281,3.0483,-4.7321,0,0,30
-5.2281,1.0483,4.2679,0,1,30
0.77188,-0.95166,2.2679,1,1,30
