"subject","datestamp","timestamp","version","Type","Goal","OptNum","Action","S2","Action2","Re","rt1","rt2","score","round","Crit","id"
"test3_dg_v15","2015-10-12","22:30:47","dayanSto_fmri_v1","1","0","9","1","1","-1","0","1598","886","0","3","0","158926"
"test3_dg_v15","2015-10-12","22:30:58","dayanSto_fmri_v1","1","1","16","1","1","-1","0","8926","526","0","4","0","158927"
"test3_dg_v15","2015-10-12","22:31:01","dayanSto_fmri_v1","1","0","4","1","1","-1","0","687","743","0","5","0","158928"
"test3_dg_v15","2015-10-12","22:31:07","dayanSto_fmri_v1","1","0","1","0","0","0","0","822","485","0","6","0","158929"
"test3_dg_v15","2015-10-12","22:31:12","dayanSto_fmri_v1","1","2","4","0","0","0","0","1380","499","0","7","0","158930"
"test3_dg_v15","2015-10-12","22:31:16","dayanSto_fmri_v1","1","2","8","-1","-1","-1","0","838","783","0","8","0","158931"
"test3_dg_v15","2015-10-12","22:31:19","dayanSto_fmri_v1","1","2","9","1","1","1","0","859","511","0","9","0","158932"
"test3_dg_v15","2015-10-12","22:31:24","dayanSto_fmri_v1","1","2","5","0","2","2","0","1111","919","0","10","0","158933"
"test3_dg_v15","2015-10-12","22:31:28","dayanSto_fmri_v1","1","2","1","1","1","1","-2","1036","575","0","11","0","158934"
"test3_dg_v15","2015-10-12","22:31:31","dayanSto_fmri_v1","1","2","7","1","2","2","0","955","767","0","12","0","158935"
"test3_dg_v15","2015-10-12","22:31:35","dayanSto_fmri_v1","1","2","6","-1","-1","-1","0","914","983","0","13","0","158936"
"test3_dg_v15","2015-10-12","22:31:38","dayanSto_fmri_v1","1","2","1","0","0","0","-3","1437","519","0","14","0","158937"
"test3_dg_v15","2015-10-12","22:31:40","dayanSto_fmri_v1","1","2","4","0","2","0","-3","934","535","0","15","0","158938"
"test3_dg_v15","2015-10-12","22:31:52","dayanSto_fmri_v1","1","2","11","0","2","1","-3","1013","727","37","16","0","158939"
"test3_dg_v15","2015-10-12","22:31:54","dayanSto_fmri_v1","1","2","5","0","0","0","-2","765","559","35","17","1","158940"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:42:13","dayanSto_fmri_v1","1","1","6","1","1","0","0","3043","15204","0","1","0","158941"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:42:22","dayanSto_fmri_v1","1","0","16","0","0","0","0","2687","1498","0","2","0","158942"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:42:30","dayanSto_fmri_v1","1","0","15","0","0","0","0","1763","2236","0","3","0","158943"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:42:47","dayanSto_fmri_v1","1","0","13","0","0","0","0","3501","8904","0","4","0","158944"
"A1P3Z24Y6GRNVA_dg_v15","2015-10-12","22:42:53","dayanSto_fmri_v1","1","0","15","0","0","0","0","1861","1037","0","1","0","158945"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:42:55","dayanSto_fmri_v1","1","0","7","0","0","0","0","1639","3027","0","5","0","158946"
"A1P3Z24Y6GRNVA_dg_v15","2015-10-12","22:43:02","dayanSto_fmri_v1","1","0","21","0","0","0","0","2935","865","0","2","0","158947"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:43:05","dayanSto_fmri_v1","1","0","19","0","0","0","0","4265","1511","0","6","0","158948"
"A1P3Z24Y6GRNVA_dg_v15","2015-10-12","22:43:08","dayanSto_fmri_v1","1","0","4","0","0","0","0","1354","1013","0","3","0","158949"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:43:14","dayanSto_fmri_v1","1","1","10","1","1","0","0","2008","3122","0","7","0","158950"
"A1P3Z24Y6GRNVA_dg_v15","2015-10-12","22:43:14","dayanSto_fmri_v1","1","1","5","1","1","0","0","1743","1116","0","4","0","158951"
"A1P3Z24Y6GRNVA_dg_v15","2015-10-12","22:43:20","dayanSto_fmri_v1","1","0","12","0","0","0","0","1366","859","0","5","0","158952"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:43:25","dayanSto_fmri_v1","1","0","23","0","0","0","0","2805","4955","0","8","0","158953"
"A1P3Z24Y6GRNVA_dg_v15","2015-10-12","22:43:30","dayanSto_fmri_v1","1","1","8","1","1","0","0","5057","805","0","6","0","158954"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:43:33","dayanSto_fmri_v1","1","0","1","0","0","0","0","1618","1545","0","9","0","158955"
"A1P3Z24Y6GRNVA_dg_v15","2015-10-12","22:43:36","dayanSto_fmri_v1","1","1","1","1","1","0","0","1648","782","0","7","0","158956"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:43:42","dayanSto_fmri_v1","1","0","8","0","0","0","0","4130","1337","0","10","0","158957"
"A1P3Z24Y6GRNVA_dg_v15","2015-10-12","22:43:42","dayanSto_fmri_v1","1","1","9","1","1","0","0","2110","986","0","8","0","158958"
"A1P3Z24Y6GRNVA_dg_v15","2015-10-12","22:43:48","dayanSto_fmri_v1","1","0","12","0","0","0","0","1542","890","0","9","0","158959"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:43:51","dayanSto_fmri_v1","1","1","4","1","2","0","0","2857","2265","0","11","0","158960"
"A1PQ86G1H02JKP_dg_v15","2015-10-12","22:43:56","dayanSto_fmri_v1","1","0","6","0","0","0","0","1350","7835","0","1","0","158961"
"A1P3Z24Y6GRNVA_dg_v15","2015-10-12","22:43:59","dayanSto_fmri_v1","1","0","17","-1","-1","-1","0","3828","3747","0","10","0","158962"
"A2L5QDGSMYUS7C_dg_v15","2015-10-12","22:44:03","dayanSto_fmri_v1","1","0","13","0","0","0","0","3445","2329","0","12","0","158963"
"A1PQ86G1H02JKP_dg_v15","2015-10-12","22:44:03","dayanSto_fmri_v1","1","0","1","0","0","0","0","1500","1116","0","2","0","158964"
"A1P3Z24Y6GRNVA_dg_v15","2015-10-12","22:44:04","dayanSto_fmri_v1","1","0","1","0","0","-1","0","1536","844","0","11","0","158965"
