subject,datestamp,timestamp,version,Type,Goal,OptNum,Action,S2,Re,rt1,rt2,score,round,Crit,id
test_dg_v15,5/11/2015,17:12:00,numberSum_v1,1,1,12,0,0,-2,789,685,0,23,0,78
test_dg_v15,5/11/2015,17:12:02,numberSum_v1,1,1,10,1,1,1,1008,309,0,24,0,79
test_dg_v15,5/11/2015,17:12:05,numberSum_v1,1,1,15,1,1,-1,1561,300,0,25,0,80
test_dg_v15,5/11/2015,17:12:08,numberSum_v1,1,1,12,0,0,-3,1375,685,0,26,0,81
test_dg_v15,5/11/2015,17:12:11,numberSum_v1,1,1,6,1,1,-1,1880,310,0,27,0,82
test_dg_v15,5/11/2015,17:12:13,numberSum_v1,1,1,1,1,1,0,1321,310,0,28,0,83
test_dg_v15,5/11/2015,17:12:15,numberSum_v1,1,1,12,1,1,-1,1259,284,0,29,0,84
test_dg_v15,5/11/2015,17:12:17,numberSum_v1,1,1,9,0,0,-3,1407,348,0,30,0,85
test_dg_v15,5/11/2015,17:12:22,numberSum_v1,1,1,7,-1,-1,0,1178,637,40,31,0,86
test_dg_v15,5/11/2015,17:12:24,numberSum_v1,1,1,1,1,1,2,1256,293,42,32,0,87
test_dg_v15,5/11/2015,17:12:27,numberSum_v1,1,1,15,0,0,-2,1808,614,40,33,0,88
test_dg_v15,5/11/2015,17:12:28,numberSum_v1,1,1,10,1,1,1,862,253,41,34,0,89
test_dg_v15,5/11/2015,17:12:30,numberSum_v1,1,1,10,1,1,1,834,339,42,35,0,90
test_dg_v15,5/11/2015,17:12:32,numberSum_v1,1,1,6,1,1,4,1143,302,46,36,0,91
test_dg_v15,5/11/2015,17:12:34,numberSum_v1,1,1,10,1,1,3,1209,319,49,37,0,92
test_dg_v15,5/11/2015,17:12:43,numberSum_v1,1,1,15,0,0,-2,1366,621,47,39,0,93
test_dg_v15,5/11/2015,17:12:45,numberSum_v1,1,1,7,1,1,4,1342,364,51,40,0,94
test_dg_v15,5/11/2015,17:12:48,numberSum_v1,1,1,10,1,2,4,1008,781,55,41,0,95
