MFonMB_X,Subj,Choice
-4.5919,168,0
-0.59192,168,1
-2.5919,168,1
3.4081,168,0
4.4081,168,1
-3.5919,168,0
-1.5919,168,0
-2.5919,168,0
-3.5919,168,1
-3.5919,168,1
-0.59192,169,0
-3.5919,169,1
-1.5919,169,0
2.4081,169,0
3.4081,169,0
1.4081,169,1
-3.5919,169,1
4.4081,169,1
2.4081,169,0
-0.59192,169,1
1.4081,169,1
0.40808,169,1
-3.5919,169,0
0.40808,172,1
0.40808,172,0
-3.5919,172,1
1.4081,172,0
5.4081,172,0
-1.5919,172,0
-0.59192,172,0
2.4081,172,0
-0.59192,172,0
0.40808,172,1
5.4081,172,1
0.40808,172,0
4.4081,172,0
-3.5919,177,0
-3.5919,177,0
4.4081,177,1
2.4081,177,1
-1.5919,177,1
2.4081,177,1
-4.5919,177,0
1.4081,177,1
-0.59192,177,0
-1.5919,177,0
-1.5919,177,0
-2.5919,177,1
-3.5919,177,1
4.4081,179,0
3.4081,179,0
3.4081,179,0
3.4081,179,0
0.40808,179,0
-2.5919,179,0
-3.5919,179,0
-3.5919,179,1
2.4081,179,0
0.40808,179,0
2.4081,179,0
3.4081,179,0
0.40808,180,1
-3.5919,180,0
-2.5919,180,0
-1.5919,180,1
2.4081,180,0
-4.5919,180,0
2.4081,180,1
-2.5919,180,0
1.4081,180,1
-4.5919,180,0
2.4081,180,0
3.4081,180,1
-1.5919,180,0
-3.5919,184,1
1.4081,184,1
1.4081,184,0
1.4081,184,0
3.4081,184,0
2.4081,184,1
1.4081,184,0
2.4081,184,1
-2.5919,184,0
5.4081,184,1
3.4081,184,0
0.40808,184,1
-3.5919,184,0
-3.5919,185,1
-2.5919,185,1
-3.5919,185,1
-3.5919,185,1
-2.5919,185,0
-1.5919,185,1
-3.5919,185,0
-1.5919,185,1
2.4081,185,1
-0.59192,185,1
2.4081,185,1
-0.59192,185,0
1.4081,185,1
-2.5919,188,1
-1.5919,188,0
0.40808,188,1
0.40808,188,0
0.40808,188,0
2.4081,188,1
1.4081,188,1
2.4081,188,0
-0.59192,188,0
-4.5919,188,1
1.4081,188,1
-4.5919,188,0
3.4081,188,1
-2.5919,190,1
-4.5919,190,0
-2.5919,190,0
-4.5919,190,0
-2.5919,190,1
2.4081,190,1
3.4081,190,1
4.4081,190,0
-3.5919,190,0
-2.5919,190,1
-0.59192,190,1
-0.59192,190,1
-0.59192,190,1
-3.5919,191,1
-2.5919,191,1
-4.5919,191,0
-1.5919,191,0
0.40808,191,0
-1.5919,191,1
-4.5919,191,0
1.4081,191,0
4.4081,191,1
-0.59192,191,1
-3.5919,191,1
-0.59192,191,1
-0.59192,191,1
-3.5919,195,0
2.4081,195,0
1.4081,195,0
2.4081,195,0
-1.5919,195,0
-2.5919,195,0
2.4081,195,1
3.4081,195,0
3.4081,195,1
3.4081,195,1
1.4081,195,1
0.40808,195,0
2.4081,195,1
-3.5919,198,1
-3.5919,198,0
-4.5919,198,0
2.4081,198,0
-2.5919,198,1
4.4081,198,1
-1.5919,198,1
-3.5919,198,1
2.4081,198,1
4.4081,198,0
2.4081,198,1
-0.59192,198,1
-0.59192,198,1
1.4081,199,0
4.4081,199,1
-3.5919,199,1
1.4081,199,1
1.4081,199,1
0.40808,199,0
5.4081,199,0
0.40808,199,0
2.4081,199,0
4.4081,199,0
3.4081,199,0
2.4081,199,1
-1.5919,199,1
4.4081,202,1
-0.59192,202,0
-1.5919,202,0
-0.59192,202,0
-4.5919,202,1
5.4081,202,0
1.4081,202,1
-1.5919,202,1
2.4081,202,1
1.4081,202,1
0.40808,202,1
5.4081,202,0
1.4081,202,1
3.4081,203,1
-0.59192,203,1
1.4081,203,1
5.4081,203,1
2.4081,203,1
-1.5919,203,1
4.4081,203,1
0.40808,203,0
0.40808,203,0
-0.59192,203,0
-3.5919,203,1
4.4081,203,0
2.4081,203,1
0.40808,205,0
3.4081,205,1
3.4081,205,0
4.4081,205,0
4.4081,205,0
-3.5919,205,1
1.4081,205,0
5.4081,205,0
-2.5919,205,0
1.4081,205,1
-4.5919,205,1
2.4081,205,0
0.40808,205,0
3.4081,206,1
1.4081,206,0
5.4081,206,1
3.4081,206,0
4.4081,206,1
-3.5919,206,1
4.4081,206,0
1.4081,206,0
0.40808,206,1
2.4081,206,0
-1.5919,206,0
5.4081,206,1
2.4081,206,1
-3.5919,206,1
-3.5919,207,0
-4.5919,207,1
2.4081,207,0
3.4081,207,1
-3.5919,207,1
0.40808,207,1
-0.59192,207,1
-0.59192,207,0
-1.5919,207,1
2.4081,207,0
0.40808,207,0
-1.5919,207,0
-3.5919,207,0
3.4081,208,1
-0.59192,208,1
-2.5919,208,0
-0.59192,208,1
-4.5919,208,1
3.4081,208,1
-4.5919,208,0
-0.59192,208,0
-3.5919,208,0
-2.5919,208,0
-0.59192,208,1
0.40808,208,1
-1.5919,208,0
-2.5919,208,1
-4.5919,209,1
-2.5919,209,0
5.4081,209,0
-2.5919,209,1
-2.5919,209,0
2.4081,209,0
-3.5919,209,0
-3.5919,209,0
1.4081,209,0
2.4081,209,0
-1.5919,209,0
-2.5919,209,0
3.4081,209,1
2.4081,210,0
1.4081,210,1
-3.5919,210,1
3.4081,210,0
-4.5919,210,0
-0.59192,210,1
-4.5919,210,0
-0.59192,210,1
-1.5919,210,0
-0.59192,210,1
4.4081,210,1
-2.5919,210,1
-3.5919,210,0
