MFonMB_X,Subj,Choice
-0.14402,28,0
-3.6943,28,0
1.0729,28,0
2.9411,28,0
2.9576,28,1
0.90254,28,1
0.24235,28,1
0.038641,28,1
0.45509,28,1
0.94624,28,1
-5.3087,28,1
6.5987,28,1
4.7252,28,1
-2.5673,28,1
-1.4297,28,1
-5.0666,29,0
4.3332,29,0
2.6319,29,0
3.7725,29,0
3.0912,29,0
-2.5399,29,0
7.7581,29,0
12.193,29,0
-1.7822,29,0
17.758,29,0
-2.3967,29,1
22.016,29,0
22.754,29,0
-4.2095,29,0
-1.8418,29,0
-7.2182,30,1
-11.1,30,0
1.853,30,1
-13.489,30,0
0.29976,30,1
-6.9356,30,1
-0.46234,30,0
-8.1605,30,0
-2.8171,30,1
-13.451,30,0
-4.3493,30,0
-9.7085,30,1
-2.9385,30,1
-9.4495,30,1
0.9781,30,0
-11.204,30,1
-3.5771,31,1
-2.242,31,1
-2.8873,31,1
-3.5495,31,1
11.366,31,0
-6.7972,31,1
2.5134,31,0
-1.8789,31,0
-1.4868,31,0
5.0836,31,0
-1.3972,31,1
0.90744,31,1
2.8956,31,0
-7.3862,31,0
-10.512,31,1
5.2108,32,0
-0.069968,32,0
5.3965,32,1
8.736,32,1
0.49685,32,1
-1.4062,32,0
-8.3699,32,0
3.5271,32,1
3.1618,32,0
1.9851,32,0
4.8814,32,1
-1.3642,32,1
0.40885,32,1
-0.01854,32,1
-8.0846,32,0
5.1223,32,1
1.7471,33,0
-1.8102,33,1
2.1801,33,1
1.7378,33,0
13.957,33,0
3.8129,33,1
4.7474,33,0
0.47402,33,0
4.7628,33,0
-12.945,33,1
6.9452,33,0
-6.071,33,0
2.4606,33,0
-9.0596,33,1
-6.2808,33,1
-6.4052,33,1
1.7471,34,0
-4.592,34,1
-0.4637,34,1
-2.3781,34,1
2.237,34,0
3.4747,34,0
1.7723,34,0
-0.96105,34,0
-4.4116,34,0
7.4511,34,0
0.72667,34,0
-4.9785,34,0
0.16728,34,0
2.2698,34,0
0.94023,34,1
-7.3102,34,0
-10.499,34,1
1.7471,35,1
-2.835,35,1
-3.4813,35,0
4.4033,35,0
5.6876,35,0
