MB,MF,MFonMB,Unlikely,Crits,Choice,Subj
2.6639,3.2909,4.6993,-0.14134,1,1,7
-0.46196,-0.34905,-0.30068,4.8587,-1,0,7
2.9552,0.44092,-4.3007,-0.14134,1,1,7
2.5555,0.58188,-2.3007,-0.14134,0,1,7
-0.45988,-4.1265,-2.3007,-0.14134,1,1,7
-3.1315,-1.9024,3.6993,-0.14134,0,0,7
2.4663,2.5792,3.6993,-0.14134,1,1,7
0.29234,-0.45182,4.6993,-0.14134,1,1,7
-5.052,-4.9391,-3.3007,-0.14134,0,0,8
-0.46196,-0.34905,-0.30068,-2.1413,-1,0,8
-1.8655,0.46267,0.69932,-0.14134,0,0,8
-0.46196,-0.34905,-0.30068,3.8587,-1,0,8
4.9254,3.4382,-4.3007,-0.14134,1,1,8
-0.46196,-0.34905,-0.30068,2.8587,-1,1,8
-2.429,0.66245,-1.3007,-0.14134,0,0,8
-0.46196,-0.34905,-0.30068,-3.1413,-1,0,8
-3.9737,-2.6419,-4.3007,-0.14134,0,0,8
-1.8764,-2.0744,-4.3007,-0.14134,1,1,8
-0.46196,-0.34905,-0.30068,0.85866,-1,1,8
-1.6787,0.45479,3.6993,-0.14134,1,0,8
-1.4698,-1.7502,4.6993,-0.14134,1,1,8
-0.46196,-0.34905,-0.30068,4.8587,-1,1,8
-0.46196,-0.34905,-0.30068,3.8587,-1,0,8
2.0198,5.5074,4.6993,-0.14134,1,1,8
-0.46196,-0.34905,-0.30068,3.8587,-1,1,8
-0.46196,-0.34905,-0.30068,-2.1413,-1,1,8
-0.0057103,1.0959,-2.3007,-0.14134,1,0,8
-0.46196,-0.34905,-0.30068,3.8587,-1,0,8
-0.21245,3.1821,-0.30068,-0.14134,0,1,8
1.4349,0.26507,-4.3007,-0.14134,1,0,8
-0.46196,-0.34905,-0.30068,3.8587,-1,0,8
0.70862,0.82152,-2.3007,-0.14134,0,1,8
-3.012,-1.1665,-4.3007,-0.14134,1,0,8
-0.92946,3.8074,3.6993,-0.14134,1,1,8
1.0396,3.6459,-2.3007,-0.14134,0,1,8
-2.6613,1.7849,-4.3007,-0.14134,1,0,8
-0.46196,-0.34905,-0.30068,-4.1413,-1,1,8
2.3725,1.6281,4.6993,-0.14134,1,1,8
2.938,3.0509,4.6993,-0.14134,0,1,8
2.9856,2.0069,4.6993,-0.14134,1,1,8
-0.46196,-0.34905,-0.30068,-0.14134,-1,0,8
3.1547,3.3587,4.6993,-0.14134,1,1,8
1.4321,-0.38646,-0.30068,-0.14134,1,1,9
-0.46196,-0.34905,-0.30068,4.8587,-1,1,9
-0.54331,-0.4304,0.69932,-0.14134,0,1,9
-0.53111,0.19593,2.6993,-0.14134,1,1,9
-0.46196,-0.34905,-0.30068,3.8587,-1,1,9
-0.46196,-0.34905,-0.30068,-4.1413,-1,0,9
-1.5478,-1.9079,-3.3007,-0.14134,1,0,9
0.233,3.5359,-3.3007,-0.14134,0,1,9
0.85554,0.96845,-3.3007,-0.14134,0,0,9
-0.46196,-0.34905,-0.30068,-2.1413,-1,0,9
-1.4169,-5.5914,-4.3007,-0.14134,1,1,9
0.99506,1.9773,-4.3007,-0.14134,1,1,9
-0.46196,-0.34905,-0.30068,-1.1413,-1,1,9
-0.15694,-0.81229,-4.3007,-0.14134,1,1,9
-0.46196,-0.34905,-0.30068,2.8587,-1,0,9
-0.46196,-0.34905,-0.30068,0.85866,-1,1,9
1.2055,1.0825,-4.3007,-0.14134,1,0,9
-1.9812,3.1258,-4.3007,-0.14134,0,0,9
0.66246,-3.9807,-1.3007,-0.14134,0,1,9
0.4938,0.68232,-4.3007,-0.14134,1,1,9
