MB_X,MB_Y,MF_X,MF_Y,SMF_X,SMF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
1.7096,0.6412,-0.50865,1.5273,-0.42805,1.5543,0.0070117,0.0076127,1,0
2.7096,0.6412,0.49135,1.5273,0.57195,1.5543,0.0070117,0.0076127,1,1
-4.2904,2.6412,7.4914,0.52728,2.572,0.55432,0.0070117,0.0076127,1,0
0.70965,2.6412,0.49135,0.52728,0.57195,0.55432,0.0070117,0.0076127,1,0
-3.2904,2.6412,6.4914,-4.4727,3.572,0.55432,0.0070117,0.0076127,1,0
2.7096,0.6412,-4.5086,-4.4727,0.57195,0.55432,0.0070117,0.0076127,1,0
0.70965,0.6412,-3.5086,-0.47272,-3.428,-2.4457,0.0070117,0.0076127,1,0
-0.29035,-0.3588,-5.5086,0.52728,4.572,0.55432,0.0070117,0.0076127,1,1
-6.2904,0.6412,7.4914,-4.4727,7.572,0.55432,0.0070117,0.0076127,1,0
2.7096,-0.3588,-8.5086,0.52728,0.57195,0.55432,0.0070117,0.0076127,1,1
0.70965,0.6412,-4.5086,0.52728,0.57195,-2.4457,0.0070117,0.0076127,1,1
-5.2904,-6.3588,0.49135,0.52728,0.57195,0.55432,0.0070117,0.0076127,1,1
-0.29035,-6.3588,1.4914,6.5273,1.572,6.5543,0.0070117,0.0076127,1,1
0.70965,2.6412,-6.5086,-6.4727,3.572,-6.4457,0.0070117,0.0076127,1,0
2.7096,-0.3588,-6.5086,0.52728,-6.428,0.55432,0.0070117,0.0076127,1,0
-0.29035,-2.3588,-0.50865,3.5273,3.572,0.55432,0.0070117,0.0076127,1,0
-0.29035,-2.3588,0.49135,3.5273,0.57195,0.55432,0.0070117,0.0076127,1,1
-1.2904,-1.3588,1.4914,-0.47272,-4.428,0.55432,0.0070117,0.0076127,1,1
-2.2904,-4.3588,2.4914,0.52728,2.572,0.55432,0.0070117,0.0076127,1,0
-0.29035,-5.3588,-3.5086,0.52728,1.572,0.55432,0.0070117,0.0076127,1,0
-2.2904,-4.3588,0.49135,5.5273,0.57195,0.55432,0.0070117,0.0076127,1,0
-5.2904,-1.3588,2.4914,1.5273,6.572,-4.4457,0.0070117,0.0076127,1,0
-4.2904,-3.3588,5.4914,3.5273,0.57195,0.55432,0.0070117,0.0076127,1,1
-1.2904,-0.3588,0.49135,-4.4727,0.57195,-4.4457,0.0070117,0.0076127,1,1
-1.2904,0.6412,1.4914,0.52728,-4.428,0.55432,0.0070117,0.0076127,1,1
-3.2904,-0.3588,2.4914,0.52728,1.572,0.55432,0.0070117,0.0076127,1,1
0.70965,-2.3588,-1.5086,-0.47272,-1.428,2.5543,0.0070117,0.0076127,1,1
-4.2904,-4.3588,2.4914,0.52728,5.572,0.55432,0.0070117,0.0076127,1,0
0.70965,0.6412,-1.5086,0.52728,-1.428,0.55432,0.0070117,0.0076127,1,1
-2.2904,0.6412,0.49135,-4.4727,0.57195,-6.4457,0.0070117,0.0076127,1,0
-3.2904,-4.3588,4.4914,0.52728,0.57195,0.55432,0.0070117,0.0076127,1,1
0.70965,0.6412,-2.5086,0.52728,-2.428,0.55432,0.0070117,0.0076127,1,1
0.70965,-0.3588,-1.5086,0.52728,-1.428,0.55432,0.0070117,0.0076127,1,1
-3.2904,-2.3588,3.4914,-1.4727,0.57195,-1.4457,0.0070117,0.0076127,1,0
-0.29035,-0.3588,-1.5086,-1.4727,0.57195,-1.4457,0.0070117,0.0076127,1,0
0.70965,-0.3588,-4.5086,-1.4727,-6.428,-1.4457,-0.99299,-3.9924,1,1
0.70965,-4.3588,-4.5086,1.5273,-6.428,1.5543,0.0070117,0.0076127,1,0
