"subject","datestamp","timestamp","version","Type","Goal","OptNum","Action","S2","Action2","Re","rt1","rt2","score","round","Crit","id"
"test_adam1_dg_v15","2015-05-11","14:22:21","dawstage2_v1","1","4","5","2","5","6","-2","751","357","88","78","0","73"
"test_adam1_dg_v15","2015-05-11","14:22:28","dawstage2_v1","1","4","5","2","2","4","-4","903","439","84","80","0","74"
"test_dg_v15","2015-05-11","14:27:47","dawstage2_v1","1","3","1","2","2","3","0","1186","601","0","1","0","75"
"test_dg_v15","2015-05-11","14:27:51","dawstage2_v1","1","3","3","4","4","3","0","824","627","0","2","0","76"
"test_dg_v15","2015-05-11","14:27:56","dawstage2_v1","1","4","5","2","2","4","0","1070","911","0","3","0","77"
"test_dg_v15","2015-05-11","14:28:01","dawstage2_v1","1","3","3","4","4","3","0","1179","521","0","4","0","78"
"test_dg_v15","2015-05-11","14:28:06","dawstage2_v1","1","2","5","3","3","2","0","909","451","0","5","0","79"
"test_dg_v15","2015-05-11","14:28:10","dawstage2_v1","1","4","1","2","2","4","0","720","345","0","6","0","80"
"test_dg_v15","2015-05-11","14:28:15","dawstage2_v1","1","2","1","1","1","2","0","942","561","0","7","0","81"
"test_dg_v15","2015-05-11","14:28:21","dawstage2_v1","1","1","1","1","1","1","0","1142","387","0","8","0","82"
"test_dg_v15","2015-05-11","14:28:27","dawstage2_v1","1","3","5","2","2","3","0","1479","662","0","9","0","83"
"test_dg_v15","2015-05-11","14:29:51","dawstage2_v1","1","3","1","1","1","2","0","667","495","0","1","0","84"
"test_dg_v15","2015-05-11","14:29:56","dawstage2_v1","1","3","8","3","3","1","0","534","491","0","2","0","85"
"test_dg_v15","2015-05-11","14:30:00","dawstage2_v1","1","3","8","3","3","2","2","935","353","0","3","0","86"
"test_dg_v15","2015-05-11","14:30:02","dawstage2_v1","1","3","8","3","3","1","-4","638","448","0","4","0","87"
"test_dg_v15","2015-05-11","14:30:03","dawstage2_v1","1","3","3","4","4","4","2","485","220","0","5","0","88"
"test_dg_v15","2015-05-11","14:30:06","dawstage2_v1","1","3","3","1","1","2","0","531","182","0","6","0","89"
"test_dg_v15","2015-05-11","14:30:07","dawstage2_v1","1","3","5","3","3","2","4","482","190","0","7","0","90"
"test_dg_v15","2015-05-11","14:30:09","dawstage2_v1","1","3","8","3","3","2","1","564","179","0","8","0","91"
"test_dg_v15","2015-05-11","14:30:11","dawstage2_v1","1","3","8","3","3","2","-3","1021","434","0","9","0","92"
"test_dg_v15","2015-05-11","14:30:13","dawstage2_v1","1","3","5","3","3","2","-4","511","189","0","10","0","93"
"test_dg_v15","2015-05-11","14:30:14","dawstage2_v1","1","3","5","3","3","2","-4","550","187","0","11","0","94"
"test_dg_v15","2015-05-11","14:30:15","dawstage2_v1","1","3","1","1","1","2","-4","464","189","0","12","0","95"
"test_dg_v15","2015-05-11","14:30:24","dawstage2_v1","1","3","8","3","3","2","1","941","283","41","14","0","96"
"test_dg_v15","2015-05-11","14:30:28","dawstage2_v1","1","3","8","4","4","3","-1","563","1173","40","15","0","97"
"test_dg_v15","2015-05-11","14:33:31","dawstage2_v1","1","3","5","3","3","2","0","615","362","0","1","0","98"
"test_dg_v15","2015-05-11","14:33:37","dawstage2_v1","1","1","3","1","1","1","0","574","822","0","2","0","99"
"test_dg_v15","2015-05-11","14:33:43","dawstage2_v1","1","1","8","3","3","2","-4","1122","267","0","3","0","100"
"test_dg_v15","2015-05-11","14:33:46","dawstage2_v1","1","1","8","3","3","2","3","943","187","43","4","0","101"
"test_dg_v15","2015-05-11","14:33:48","dawstage2_v1","1","1","8","4","4","4","-2","635","187","41","5","0","102"
"test_dg_v15","2015-05-11","14:33:50","dawstage2_v1","1","1","3","4","4","4","2","766","222","43","6","0","103"
"test_dg_v15","2015-05-11","14:33:52","dawstage2_v1","1","1","1","2","2","4","1","506","205","44","7","0","104"
"test_dg_v15","2015-05-11","14:33:54","dawstage2_v1","1","1","5","2","2","4","4","935","725","48","8","0","105"
"test_dg_v15","2015-05-11","14:33:56","dawstage2_v1","1","1","8","4","4","4","5","545","213","53","9","0","106"
"test_dg_v15","2015-05-11","14:33:57","dawstage2_v1","1","1","8","4","4","4","2","633","211","55","10","0","107"
"test_dg_v15","2015-05-11","14:34:00","dawstage2_v1","1","1","5","2","2","4","0","936","813","55","11","0","108"
"test_dg_v15","2015-05-11","14:34:02","dawstage2_v1","1","1","1","2","2","4","3","1100","205","58","12","0","109"
"test_dg_v15","2015-05-11","14:34:04","dawstage2_v1","1","1","5","2","2","4","4","884","752","62","13","0","110"
"test_dg_v15","2015-05-11","14:34:08","dawstage2_v1","1","1","5","2","5","6","-3","959","1311","59","14","0","111"
"test_dg_v15","2015-05-11","14:34:10","dawstage2_v1","1","1","8","3","3","2","1","841","363","60","15","1","112"
"test_dg_v15","2015-05-11","14:34:13","dawstage2_v1","1","1","1","2","2","3","2","746","821","62","16","0","113"
"test_dg_v15","2015-05-11","14:34:15","dawstage2_v1","1","1","8","3","3","2","2","600","213","64","17","0","114"
"test_dg_v15","2015-05-11","14:34:16","dawstage2_v1","1","1","8","3","3","1","2","597","197","66","18","0","115"
"test_dg_v15","2015-05-11","14:34:18","dawstage2_v1","1","1","8","4","4","4","-3","590","203","63","19","0","116"
"test_dg_v15","2015-05-11","14:34:20","dawstage2_v1","1","1","5","2","5","5","-5","537","633","58","20","0","117"
"test_dg_v15","2015-05-11","14:34:21","dawstage2_v1","1","1","3","1","1","2","3","622","194","61","21","1","118"
"test_dg_v15","2015-05-11","14:34:23","dawstage2_v1","1","1","8","3","3","2","1","904","190","62","22","0","119"
"test_dg_v15","2015-05-11","14:34:25","dawstage2_v1","1","1","1","2","2","4","0","674","244","62","23","0","120"
"test_dg_v15","2015-05-11","14:34:28","dawstage2_v1","1","1","5","3","3","2","0","629","481","62","24","0","121"
"test_dg_v15","2015-05-11","14:34:35","dawstage2_v1","1","1","8","3","3","2","1","1041","443","63","26","0","122"
"test_dg_v15","2015-05-11","14:34:37","dawstage2_v1","1","1","8","3","3","2","1","1102","239","64","27","0","123"
